Name,Stage,Lead Length,Place Notation,Type,Interior Notation,Hunt Number
St Remigius Place Singles,3,6,"3.1.3,123",P,3.1.3.1.3.123,1
Bastow Little Bob Minimus,4,4,"-12,14",P,-12-14,1
St Aelhaiarn Little Place Minimus,4,4,"34.12,14",P,34.12.34.14,1
Barton Little Bob Minimus,4,6,"-14.34,12",P,-14.34.14-12,1
Melsonby Little Place Minimus,4,6,"-14.34,14",P,-14.34.14-14,1
East Layton Little Place Minimus,4,6,"34.14.34,12",P,34.14.34.14.34.12,1
Plain Bob Minimus,4,8,"-14-14,12",P,-14-14-14-12,1
Reverse Bob Minimus,4,8,"-14-34,14",P,-14-34-14-14,1
Reverse St Nicholas Bob Minimus,4,8,"-14.12.34,12",P,-14.12.34.12.14-12,1
St Nicholas Bob Minimus,4,8,"34.14-34,12",P,34.14-34-14.34.12,1
Reverse Court Place Minimus,4,8,"-14.12.14,14",P,-14.12.14.12.14-14,1
Canterbury Place Minimus,4,8,"-14.12.34,14",P,-14.12.34.12.14-14,1
Reverse Canterbury Place Minimus,4,8,"34.14-14,12",P,34.14-14-14.34.12,1
Single Court Place Minimus,4,8,"34.14-14,14",P,34.14-14-14.34.14,1
Kent Treble Bob Minimus,4,16,"34-34.14-12-14,14",T,34-34.14-12-14-12-14.34-34.14,1
Moreton Treble Bob Minimus,4,16,"34-34.14.12-12.14,12",T,34-34.14.12-12.14.12-12.14.34-34.12,1
Lower Basildon Treble Bob Minimus,4,16,"34-34.14.12--14,14",T,34-34.14.12--14--12.14.34-34.14,1
Gunville Treble Bob Minimus,4,16,"34-34.14-12.12.34,14",T,34-34.14-12.12.34.12.12-14.34-34.14,1
Eclipse Treble Bob Minimus,4,16,"34-34.14-12.12.34,12",T,34-34.14-12.12.34.12.12-14.34-34.12,1
Reverse Crawford Treble Bob Minimus,4,16,"34-34.14-12-34,14",T,34-34.14-12-34-12-14.34-34.14,1
Keyneston Treble Bob Minimus,4,16,"34-34.14-12-34,12",T,34-34.14-12-34-12-14.34-34.12,1
Iken Treble Bob Minimus,4,16,"34-34.14--12.34,12",T,34-34.14--12.34.12--14.34-34.12,1
Chaddleworth Treble Bob Minimus,4,16,"34-34.14--12.14,14",T,34-34.14--12.14.12--14.34-34.14,1
Derby Treble Bob Minimus,4,16,"34-34.14---34,12",T,34-34.14---34---14.34-34.12,1
Hinton Treble Bob Minimus,4,16,"34--14.12.12-14,14",T,34--14.12.12-14-12.12.14--34.14,1
Ettington Treble Bob Minimus,4,16,"34--14.12-12.34,12",T,34--14.12-12.34.12-12.14--34.12,1
Last Post Treble Bob Minimus,4,16,"34--14-12.12.34,12",T,34--14-12.12.34.12.12-14--34.12,1
For the Fallen Treble Bob Minimus,4,16,"34--14-12-34,12",T,34--14-12-34-12-14--34.12,1
Malcolm Treble Bob Minimus,4,16,"34--14-12-14,14",T,34--14-12-14-12-14--34.14,1
Shipton Gorge Treble Bob Minimus,4,16,"-34.34.14-12.12.34,12",T,-34.34.14-12.12.34.12.12-14.34.34-12,1
Torbryan Treble Bob Minimus,4,16,"-34.34.14-12-34,12",T,-34.34.14-12-34-12-14.34.34-12,1
Reverse Margaret Marsh Treble Bob Minimus,4,16,"-34.34.14-12-14,14",T,-34.34.14-12-14-12-14.34.34-14,1
Denchworth Treble Bob Minimus,4,16,"-34.34.14---34,12",T,-34.34.14---34---14.34.34-12,1
Ashley Treble Bob Minimus,4,16,"-34.34.14---14,12",T,-34.34.14---14---14.34.34-12,1
Reverse Kermit Treble Bob Minimus,4,16,"-34-14.12.12.12.34,12",T,-34-14.12.12.12.34.12.12.12.14-34-12,1
Cann Treble Bob Minimus,4,16,"-34-14.12.12.12.14,14",T,-34-14.12.12.12.14.12.12.12.14-34-14,1
Margaret Marsh Treble Bob Minimus,4,16,"-34-14.12.12-14,14",T,-34-14.12.12-14-12.12.14-34-14,1
Reverse Keyneston Treble Bob Minimus,4,16,"-34-14.12-12.34,12",T,-34-14.12-12.34.12-12.14-34-12,1
Reverse Kent Treble Bob Minimus,4,16,"-34-14.12-12.14,14",T,-34-14.12-12.14.12-12.14-34-14,1
Crawford Treble Bob Minimus,4,16,"-34-14.12-12.14,12",T,-34-14.12-12.14.12-12.14-34-12,1
Trotton Treble Bob Minimus,4,16,"-34-14.12--14,14",T,-34-14.12--14--12.14-34-14,1
Donhead Treble Bob Minimus,4,16,"-34-14-12.12.34,12",T,-34-14-12.12.34.12.12-14-34-12,1
Launceston Treble Bob Minimus,4,16,"-34-14-12.12.14,14",T,-34-14-12.12.14.12.12-14-34-14,1
Ovington Treble Bob Minimus,4,16,"-34-14--12.14,14",T,-34-14--12.14.12--14-34-14,1
Reverse Upton by Birkenhead Treble Bob Minimus,4,16,"-34-14---34,12",T,-34-14---34---14-34-12,1
Monkton Treble Bob Minimus,4,16,"-34-14---14,14",T,-34-14---14---14-34-14,1
Christchurch and Southampton District Treble Bob Minimus,4,16,"-34-14---14,12",T,-34-14---14---14-34-12,1
East Horsley Treble Bob Minimus,4,16,"--34.14.12.12.12.34,12",T,--34.14.12.12.12.34.12.12.12.14.34--12,1
Breamore Treble Bob Minimus,4,16,"--34.14.12.12-14,14",T,--34.14.12.12-14-12.12.14.34--14,1
Hurstbourne Tarrant Treble Bob Minimus,4,16,"--34.14.12-12.14,14",T,--34.14.12-12.14.12-12.14.34--14,1
Angela Treble Bob Minimus,4,16,"--34.14-12.12.14,14",T,--34.14-12.12.14.12.12-14.34--14,1
Briefcase and Mobile Phone Treble Bob Minimus,4,16,"--34.14-12-34,12",T,--34.14-12-34-12-14.34--12,1
Newington Treble Bob Minimus,4,16,"--34.14---34,12",T,--34.14---34---14.34--12,1
Shapwick Treble Bob Minimus,4,16,"--34.14---14,14",T,--34.14---14---14.34--14,1
Prince of Cambridge Treble Bob Minimus,4,16,"---14.12.12.12.34,12",T,---14.12.12.12.34.12.12.12.14---12,1
Barkham Treble Bob Minimus,4,16,"---14.12.12-34,12",T,---14.12.12-34-12.12.14---12,1
Newtown Treble Bob Minimus,4,16,"---14.12.12-14,12",T,---14.12.12-14-12.12.14---12,1
Lockinge Treble Bob Minimus,4,16,"---14.12--34,12",T,---14.12--34--12.14---12,1
Bucket Treble Bob Minimus,4,16,"---14-12.12.34,14",T,---14-12.12.34.12.12-14---14,1
Princess of Cambridge Treble Bob Minimus,4,16,"---14-12.12.34,12",T,---14-12.12.34.12.12-14---12,1
Pamber Treble Bob Minimus,4,16,"---14-12.12.14,12",T,---14-12.12.14.12.12-14---12,1
Havisham Treble Bob Minimus,4,16,"---14-12-34,14",T,---14-12-34-12-14---14,1
Upton by Birkenhead Treble Bob Minimus,4,16,"---14-12-34,12",T,---14-12-34-12-14---12,1
Reverse Monkton Treble Bob Minimus,4,16,"---14-12-14,14",T,---14-12-14-12-14---14,1
Biggetywitch Treble Bob Minimus,4,16,"---14--12.34,14",T,---14--12.34.12--14---14,1
Julie McDonnell Treble Bob Minimus,4,16,"---14--12.14,14",T,---14--12.14.12--14---14,1
Tulkinghorn Treble Bob Minimus,4,16,"---14---34,14",T,---14---34---14---14,1
Rawston Treble Bob Minimus,4,16,"---14---14,12",T,---14---14---14---12,1
Cubley Treble Bob Minimus,4,16,"34.34-14---14,12",T,34.34-14---14---14-34.34.12,1
Foremark Treble Bob Minimus,4,16,"34.34.34.14.12.12-34,12",T,34.34.34.14.12.12-34-12.12.14.34.34.34.12,1
Brimpton Treble Bob Minimus,4,16,"34.34.34.14.12.12-14,12",T,34.34.34.14.12.12-14-12.12.14.34.34.34.12,1
Ringsfield Treble Bob Minimus,4,16,"34.34.34.14.12-12.14,14",T,34.34.34.14.12-12.14.12-12.14.34.34.34.14,1
Toller Fratrum Treble Bob Minimus,4,16,"34.34.34.14.12-12.14,12",T,34.34.34.14.12-12.14.12-12.14.34.34.34.12,1
Outwood Treble Bob Minimus,4,16,"34.34.34.14.12--34,12",T,34.34.34.14.12--34--12.14.34.34.34.12,1
Ufton Nervet Treble Bob Minimus,4,16,"34.34.34.14-12.12.14,12",T,34.34.34.14-12.12.14.12.12-14.34.34.34.12,1
Kermit Treble Bob Minimus,4,16,"34.34.34.14-12-34,12",T,34.34.34.14-12-34-12-14.34.34.34.12,1
Stourton Caundle Treble Bob Minimus,4,16,"34.34.34.14-12-14,14",T,34.34.34.14-12-14-12-14.34.34.34.14,1
69 Treble Bob Minimus,4,16,"34.34.34.14--12.14,14",T,34.34.34.14--12.14.12--14.34.34.34.14,1
St Aelhaiarn Treble Bob Minimus,4,16,"34.34.34.14---34,12",T,34.34.34.14---34---14.34.34.34.12,1
Long Burton Treble Bob Minimus,4,16,"34.34.34.14---14,14",T,34.34.34.14---14---14.34.34.34.14,1
Little Bedwyn Treble Bob Minimus,4,16,"34.34.34.14---14,12",T,34.34.34.14---14---14.34.34.34.12,1
Reverse Shipton Gorge Treble Bob Minimus,4,16,"34.34-14.12.12-34,12",T,34.34-14.12.12-34-12.12.14-34.34.12,1
Cratchit Treble Bob Minimus,4,16,"34.34-14-12.12.34,14",T,34.34-14-12.12.34.12.12-14-34.34.14,1
Scrooge Treble Bob Minimus,4,16,"34.34-14-12-34,14",T,34.34-14-12-34-12-14-34.34.14,1
Reverse Launceston Treble Bob Minimus,4,16,"34.34-14-12-14,14",T,34.34-14-12-14-12-14-34.34.14,1
Bumble Treble Bob Minimus,4,16,"34.34-14--12.34,14",T,34.34-14--12.34.12--14-34.34.14,1
Compeyson Treble Bob Minimus,4,16,"34.34-14---34,14",T,34.34-14---34---14-34.34.14,1
Stanford Dingley Treble Bob Minimus,4,16,"34-34.14.12.12.12.14,14",T,34-34.14.12.12.12.14.12.12.12.14.34-34.14,1
Reverse Moreton Treble Bob Minimus,4,16,"34-34.14.12-12.34,14",T,34-34.14.12-12.34.12-12.14.34-34.14,1
Remembrance Day Treble Bob Minimus,4,16,"34--14---34,12",T,34--14---34---14--34.12,1
Zelston Treble Bob Minimus,4,16,"34--14---14,14",T,34--14---14---14--34.14,1
Easter Treble Bob Minimus,4,16,"34--14---14,12",T,34--14---14---14--34.12,1
Halton Treble Bob Minimus,4,16,"-34.34.14.12.12.12.34,12",T,-34.34.14.12.12.12.34.12.12.12.14.34.34-12,1
Red Nose Treble Bob Minimus,4,16,"-34.34.14.12--34,14",T,-34.34.14.12--34--12.14.34.34-14,1
Buscot Treble Bob Minimus,4,16,"-34.34.14.12--34,12",T,-34.34.14.12--34--12.14.34.34-12,1
Sparsholt Treble Bob Minimus,4,16,"--34.14.12.12-34,12",T,--34.14.12.12-34-12.12.14.34--12,1
Barby Treble Bob Minimus,4,16,"---14.12-12.14,12",T,---14.12-12.14.12-12.14---12,1
Reverse Derby Treble Bob Minimus,4,16,"---14.12-12.34,12",T,---14.12-12.34.12-12.14---12,1
Yatton Keynell Treble Bob Minimus,4,16,"-34.34.14.12-12.34,12",T,-34.34.14.12-12.34.12-12.14.34.34-12,1
Fritwell Treble Bob Minimus,4,16,"-34.34.14--12.34,12",T,-34.34.14--12.34.12--14.34.34-12,1
Langdon Hills Treble Bob Minimus,4,16,"---14--12.34,12",T,---14--12.34.12--14---12,1
Stickland Treble Bob Minimus,4,16,"34-34.14.12.12.12.34,12",T,34-34.14.12.12.12.34.12.12.12.14.34-34.12,1
Slindon Treble Bob Minimus,4,16,"34-34.14.12.12-34,12",T,34-34.14.12.12-34-12.12.14.34-34.12,1
Berkley Treble Bob Minimus,4,16,"34-34.14.12--34,12",T,34-34.14.12--34--12.14.34-34.12,1
Draughton Treble Bob Minimus,4,16,"34.34-14.12.12.12.34,12",T,34.34-14.12.12.12.34.12.12.12.14-34.34.12,1
Waresley Treble Bob Minimus,4,16,"34.34-14.12-12.34,12",T,34.34-14.12-12.34.12-12.14-34.34.12,1
Spetchley Treble Bob Minimus,4,16,"34.34-14.12--34,12",T,34.34-14.12--34--12.14-34.34.12,1
Kemp Town Treble Bob Minimus,4,16,"34.34-14-12-34,12",T,34.34-14-12-34-12-14-34.34.12,1
Bolnhurst Treble Bob Minimus,4,16,"34.34-14--12.34,12",T,34.34-14--12.34.12--14-34.34.12,1
Newbold Pacey Treble Bob Minimus,4,16,"34.34-14---34,12",T,34.34-14---34---14-34.34.12,1
Pickwick Treble Bob Minimus,4,16,"---14.12--34,14",T,---14.12--34--12.14---14,1
Wegg Treble Bob Minimus,4,16,"---14.12.12-34,14",T,---14.12.12-34-12.12.14---14,1
Dodger Treble Bob Minimus,4,16,"---14.12.12.12.34,14",T,---14.12.12.12.34.12.12.12.14---14,1
Battle's Over Treble Bob Minimus,4,16,"---14.12--14,14",T,---14.12--14--12.14---14,1
Olive Treble Bob Minimus,4,16,"---14.12.12.12.14,14",T,---14.12.12.12.14.12.12.12.14---14,1
Greta Thunberg Treble Bob Minimus,4,16,"---14.12-12.34,14",T,---14.12-12.34.12-12.14---14,1
Himbleton Treble Bob Minimus,4,16,"34.34.34.14-12.12.14,14",T,34.34.34.14-12.12.14.12.12-14.34.34.34.14,1
Langley Treble Bob Minimus,4,16,"34.34.34.14.12.12-14,14",T,34.34.34.14.12.12-14-12.12.14.34.34.34.14,1
Reveller Treble Bob Minimus,4,16,"34--14.12--34,12",T,34--14.12--34--12.14--34.12,1
Reverse Briefcase and Mobile Phone Treble Bob Minimus,4,16,"-34-14.12--34,12",T,-34-14.12--34--12.14-34-12,1
Reverse Fritwell Treble Bob Minimus,4,16,"34--14.12.12-34,12",T,34--14.12.12-34-12.12.14--34.12,1
Reverse Torbryan Treble Bob Minimus,4,16,"-34-14.12.12-34,12",T,-34-14.12.12-34-12.12.14-34-12,1
Truffler Treble Bob Minimus,4,16,"34--14.12.12.12.34,12",T,34--14.12.12.12.34.12.12.12.14--34.12,1
Reverse for the Fallen Treble Bob Minimus,4,16,"-34-14--12.34,12",T,-34-14--12.34.12--14-34-12,1
Reverse Stickland Treble Bob Minimus,4,16,"34.34.34.14.12-12.34,12",T,34.34.34.14.12-12.34.12-12.14.34.34.34.12,1
Reverse Draughton Treble Bob Minimus,4,16,"34.34.34.14-12.12.34,12",T,34.34.34.14-12.12.34.12.12-14.34.34.34.12,1
Reverse Truffler Treble Bob Minimus,4,16,"34.34.34.14--12.34,12",T,34.34.34.14--12.34.12--14.34.34.34.12,1
Reverse Berkley Treble Bob Minimus,4,16,"--34.14.12-12.34,12",T,--34.14.12-12.34.12-12.14.34--12,1
Reverse Spetchley Treble Bob Minimus,4,16,"--34.14-12.12.34,12",T,--34.14-12.12.34.12.12-14.34--12,1
Reverse Reveller Treble Bob Minimus,4,16,"--34.14--12.34,12",T,--34.14--12.34.12--14.34--12,1
St Catherine's Valley Treble Bob Minimus,4,16,"--34.14.12-12.14,12",T,--34.14.12-12.14.12-12.14.34--12,1
Little Solsbury Hill Treble Bob Minimus,4,16,"--34.14-12.12.14,12",T,--34.14-12.12.14.12.12-14.34--12,1
Charmy Down Treble Bob Minimus,4,16,"--34.14.12.12-14,12",T,--34.14.12.12-14-12.12.14.34--12,1
Bannerdown Treble Bob Minimus,4,16,"--34.14---14,12",T,--34.14---14---14.34--12,1
Brown's Folly Treble Bob Minimus,4,16,"34-34.14-12.12.14,12",T,34-34.14-12.12.14.12.12-14.34-34.12,1
Sham Castle Treble Bob Minimus,4,16,"34-34.14.12.12-14,12",T,34-34.14.12.12-14-12.12.14.34-34.12,1
Batheaston Treble Bob Minimus,4,16,"34-34.14---14,12",T,34-34.14---14---14.34-34.12,1
Shockerwick Treble Bob Minimus,4,16,"34.34-14-12.12.14,12",T,34.34-14-12.12.14.12.12-14-34.34.12,1
Fosse Lane Treble Bob Minimus,4,16,"34.34-14.12.12-14,12",T,34.34-14.12.12-14-12.12.14-34.34.12,1
Steway Lane Treble Bob Minimus,4,16,"-34.34.14.12-12.14,12",T,-34.34.14.12-12.14.12-12.14.34.34-12,1
Marshfield Treble Bob Minimus,4,16,"-34.34.14-12.12.14,12",T,-34.34.14-12.12.14.12.12-14.34.34-12,1
Ashwicke Treble Bob Minimus,4,16,"-34.34.14.12.12-14,12",T,-34.34.14.12.12-14-12.12.14.34.34-12,1
Northend Treble Bob Minimus,4,16,"34--14.12-12.14,12",T,34--14.12-12.14.12-12.14--34.12,1
Hollies Lane Treble Bob Minimus,4,16,"34--14-12.12.14,12",T,34--14-12.12.14.12.12-14--34.12,1
Monkswood Reservoir Treble Bob Minimus,4,16,"34--14.12.12-14,12",T,34--14.12.12-14-12.12.14--34.12,1
Oakford Lane Treble Bob Minimus,4,16,"-34-14-12.12.14,12",T,-34-14-12.12.14.12.12-14-34-12,1
Ramsbottom Treble Bob Minimus,4,16,"-34-14.12.12-14,12",T,-34-14.12.12-14-12.12.14-34-12,1
Reverse Gunville Treble Bob Minimus,4,16,"34.34-14.12-12.14,12",T,34.34-14.12-12.14.12-12.14-34.34.12,1
Cock Ring Treble Bob Minimus,4,16,"--34.14-12-14,14",T,--34.14-12-14-12-14.34--14,1
Vindaloo Treble Bob Minimus,4,16,"34--14-12.12.14,14",T,34--14-12.12.14.12.12-14--34.14,1
Madras Treble Bob Minimus,4,16,"--34.14.12.12.12.14,14",T,--34.14.12.12.12.14.12.12.12.14.34--14,1
Dhansak Treble Bob Minimus,4,16,"34.34.34.14.12--14,14",T,34.34.34.14.12--14--12.14.34.34.34.14,1
Bhuna Treble Bob Minimus,4,16,"34.34-14--12.14,14",T,34.34-14--12.14.12--14-34.34.14,1
96 Treble Bob Minimus,4,16,"34--14.12.12.12.14,14",T,34--14.12.12.12.14.12.12.12.14--34.14,1
Reverse Angela Treble Bob Minimus,4,16,"34.34-14.12--14,14",T,34.34-14.12--14--12.14-34.34.14,1
Reverse Himbleton Treble Bob Minimus,4,16,"34.34-14.12.12.12.14,14",T,34.34-14.12.12.12.14.12.12.12.14-34.34.14,1
Reverse Breamore Treble Bob Minimus,4,16,"-34.34.14.12--14,14",T,-34.34.14.12--14--12.14.34.34-14,1
Reverse Langley Treble Bob Minimus,4,16,"-34.34.14.12.12.12.14,14",T,-34.34.14.12.12.12.14.12.12.12.14.34.34-14,1
Reverse Hinton Treble Bob Minimus,4,16,"-34.34.14--12.14,14",T,-34.34.14--12.14.12--14.34.34-14,1
Reverse Toller Fratrum Treble Bob Minimus,4,16,"34-34.14.12.12.12.34,14",T,34-34.14.12.12.12.34.12.12.12.14.34-34.14,1
Reverse Barby Treble Bob Minimus,4,16,"34-34.14---34,14",T,34-34.14---34---14.34-34.14,1
Reverse Ufton Nervet Treble Bob Minimus,4,16,"34.34-14.12.12.12.34,14",T,34.34-14.12.12.12.34.12.12.12.14-34.34.14,1
Reverse Brimpton Treble Bob Minimus,4,16,"-34.34.14.12.12.12.34,14",T,-34.34.14.12.12.12.34.12.12.12.14.34.34-14,1
Reverse Newtown Treble Bob Minimus,4,16,"-34.34.14---34,14",T,-34.34.14---34---14.34.34-14,1
Reverse Chaddleworth Treble Bob Minimus,4,16,"34--14.12-12.14,14",T,34--14.12-12.14.12-12.14--34.14,1
Larkrise Treble Bob Minimus,4,16,"--34.14--12.14,14",T,--34.14--12.14.12--14.34--14,1
Reverse Ashwicke Treble Bob Minimus,4,16,"-34.34.14.12.12-34,14",T,-34.34.14.12.12-34-12.12.14.34.34-14,1
Reverse Brown's Folly Treble Bob Minimus,4,16,"34.34-14.12-12.34,14",T,34.34-14.12-12.34.12-12.14-34.34.14,1
Reverse Fosse Lane Treble Bob Minimus,4,16,"-34.34.14-12.12.34,14",T,-34.34.14-12.12.34.12.12-14.34.34-14,1
Reverse Little Solsbury Hill Treble Bob Minimus,4,16,"34.34-14.12--34,14",T,34.34-14.12--34--12.14-34.34.14,1
Reverse Marshfield Treble Bob Minimus,4,16,"34.34-14.12.12-34,14",T,34.34-14.12.12-34-12.12.14-34.34.14,1
Reverse Monkswood Reservoir Treble Bob Minimus,4,16,"-34.34.14--12.34,14",T,-34.34.14--12.34.12--14.34.34-14,1
Reverse Northend Treble Bob Minimus,4,16,"34-34.14--12.34,14",T,34-34.14--12.34.12--14.34-34.14,1
Reverse Ramsbottom Treble Bob Minimus,4,16,"-34.34.14-12-34,14",T,-34.34.14-12-34-12-14.34.34-14,1
Reverse St Catherine's Valley Treble Bob Minimus,4,16,"34-34.14.12--34,14",T,34-34.14.12--34--12.14.34-34.14,1
Reverse Sham Castle Treble Bob Minimus,4,16,"-34.34.14.12-12.34,14",T,-34.34.14.12-12.34.12-12.14.34.34-14,1
Reverse Steway Lane Treble Bob Minimus,4,16,"34-34.14.12.12-34,14",T,34-34.14.12.12-34-12.12.14.34-34.14,1
The Paddocks Treble Bob Minimus,4,16,"34--14.12--14,14",T,34--14.12--14--12.14--34.14,1
East Hardon Treble Bob Minimus,4,24,"-34-34-14--12-12.34,12",T,-34-34-14--12-12.34.12-12--14-34-34-12,1
Stambridge Treble Bob Minimus,4,24,"-34-34-14---12-34,12",T,-34-34-14---12-34-12---14-34-34-12,1
West Hanningfield Treble Bob Minimus,4,24,"-34-34-14-----34,12",T,-34-34-14-----34-----14-34-34-12,1
Smiffey Treble Bob Minimus,4,24,"-34-34-14-12-12-14,12",T,-34-34-14-12-12-14-12-12-14-34-34-12,1
Magdalene College Treble Bob Minimus,4,24,"-34---14-12---14,14",T,-34---14-12---14---12-14---34-14,1
King's College Treble Bob Minimus,4,24,"-----14-----14,12",T,-----14-----14-----14-----12,1
Queens' College Treble Bob Minimus,4,24,"-----14-----34,14",T,-----14-----34-----14-----14,1
St Catharine's College Treble Bob Minimus,4,24,"-----14-12-12-14,12",T,-----14-12-12-14-12-12-14-----12,1
Jesus College Treble Bob Minimus,4,24,"-34---14-----14,12",T,-34---14-----14-----14---34-12,1
Christ's College Treble Bob Minimus,4,24,"-34---14-----14,14",T,-34---14-----14-----14---34-14,1
St John's College Treble Bob Minimus,4,24,"-----14-12-12-34,12",T,-----14-12-12-34-12-12-14-----12,1
Emmanuel College Treble Bob Minimus,4,24,"-34-34-14-12---34,14",T,-34-34-14-12---34---12-14-34-34-14,1
Peterhouse Treble Bob Minimus,4,24,"-----14---12-34,14",T,-----14---12-34-12---14-----14,1
Clare College Treble Bob Minimus,4,24,"---34-14-----14,12",T,---34-14-----14-----14-34---12,1
Pembroke College Treble Bob Minimus,4,24,"-----14---12-14,14",T,-----14---12-14-12---14-----14,1
Corpus Christi College Treble Bob Minimus,4,24,"-34-34-14-12-12-34,14",T,-34-34-14-12-12-34-12-12-14-34-34-14,1
Homerton College Treble Bob Minimus,4,24,"---34-14-12-12-14,14",T,---34-14-12-12-14-12-12-14-34---14,1
Downing College Treble Bob Minimus,4,24,"-34-34-14-12---14,14",T,-34-34-14-12---14---12-14-34-34-14,1
Fitzwilliam College Treble Bob Minimus,4,24,"-34-34-14---12-14,14",T,-34-34-14---12-14-12---14-34-34-14,1
Girton College Treble Bob Minimus,4,24,"---34-14-12-12-14,12",T,---34-14-12-12-14-12-12-14-34---12,1
Newnham College Treble Bob Minimus,4,24,"-34---14-12-12-14,14",T,-34---14-12-12-14-12-12-14---34-14,1
Selwyn College Treble Bob Minimus,4,24,"-----14-12---34,14",T,-----14-12---34---12-14-----14,1
Hughes Hall Treble Bob Minimus,4,24,"-34-34-14-----34,14",T,-34-34-14-----34-----14-34-34-14,1
St Edmund's College Treble Bob Minimus,4,24,"-----14-12-12-34,14",T,-----14-12-12-34-12-12-14-----14,1
Murray Edwards College Treble Bob Minimus,4,24,"-34---14-12-12-14,12",T,-34---14-12-12-14-12-12-14---34-12,1
Churchill College Treble Bob Minimus,4,24,"-34-34-14---12-34,14",T,-34-34-14---12-34-12---14-34-34-14,1
Darwin College Treble Bob Minimus,4,24,"---34-14---12-14,14",T,---34-14---12-14-12---14-34---14,1
Lucy Cavendish College Treble Bob Minimus,4,24,"-34-34-14-----14,12",T,-34-34-14-----14-----14-34-34-12,1
Wolfson College Treble Bob Minimus,4,24,"---34-14---12-34,12",T,---34-14---12-34-12---14-34---12,1
Clare Hall Treble Bob Minimus,4,24,"---34-14-----14,14",T,---34-14-----14-----14-34---14,1
Robinson College Treble Bob Minimus,4,24,"-----14-12---14,14",T,-----14-12---14---12-14-----14,1
The Big Tree Treble Bob Minimus,4,24,"-----14---12-34,12",T,-----14---12-34-12---14-----12,1
The Other Big Tree Treble Bob Minimus,4,24,"-----14-12---34,12",T,-----14-12---34---12-14-----12,1
Ophelia Treble Bob Minimus,4,24,"---34-14--12.12-14,14",T,---34-14--12.12-14-12.12--14-34---14,1
Whitton Treble Bob Minimus,4,24,"-----14--12--14,14",T,-----14--12--14--12--14-----14,1
Quimby Treble Bob Minimus,4,24,"-34-34-14-12---34,12",T,-34-34-14-12---34---12-14-34-34-12,1
Weston Treble Bob Minimus,4,24,"-34-34-14--12--34,14",T,-34-34-14--12--34--12--14-34-34-14,1
Reverse Whitton Treble Bob Minimus,4,24,"--34--14-----14,14",T,--34--14-----14-----14--34--14,1
Bill Preston Esquire Treble Bob Minimus,4,32,"-------14-------14,12",T,-------14-------14-------14-------12,1
Strange Things Are Afoot in the Circle K Treble Bob Minimus,4,32,"-------14-------34,14",T,-------14-------34-------14-------14,1
Huntingfield Little Bob Doubles,5,4,"1.3,125",P,1.3.125,1
Stanwell Little Bob Doubles,5,6,"3.1.3,125",P,3.1.3.1.3.125,1
Hampton Little Bob Doubles,5,6,"345.1.3,125",P,345.1.3.1.345.125,1
Ashford Little Bob Doubles,5,6,"5.1.3,125",P,5.1.3.1.5.125,1
Clewer Little Place Doubles,5,6,"3.145.3,125",P,3.145.3.145.3.125,1
Baldrick Little Bob Doubles,5,8,"5.1.5.145,125",P,5.1.5.145.5.1.5.125,1
Camelion Bob Doubles,5,10,"3.1.125.1.5,125",P,3.1.125.1.5.1.125.1.3.125,1
Blaisdon Bob Doubles,5,10,"3.1.125.123.5,125",P,3.1.125.123.5.123.125.1.3.125,1
St Vedast Bob Doubles,5,10,"3.1.125.3.5,125",P,3.1.125.3.5.3.125.1.3.125,1
Huntspill Bob Doubles,5,10,"3.1.5.123.5,125",P,3.1.5.123.5.123.5.1.3.125,1
New Bob Doubles,5,10,"3.1.5.3.5,125",P,3.1.5.3.5.3.5.1.3.125,1
St Hilary Bob Doubles,5,10,"3.145.125.3.5,125",P,3.145.125.3.5.3.125.145.3.125,1
Westminster II Bob Doubles,5,10,"3.145.5.3.5,125",P,3.145.5.3.5.3.5.145.3.125,1
St Remigius Bob Doubles,5,10,"345.1.125.3.5,125",P,345.1.125.3.5.3.125.1.345.125,1
St Nicholas Bob Doubles,5,10,"345.1.5.3.5,125",P,345.1.5.3.5.3.5.1.345.125,1
Eynesbury Bob Doubles,5,10,"5.1.125.123.5,125",P,5.1.125.123.5.123.125.1.5.125,1
St Osmund Bob Doubles,5,10,"5.1.125.3.5,125",P,5.1.125.3.5.3.125.1.5.125,1
Plain Bob Doubles,5,10,"5.1.5.1.5,125",P,5.1.5.1.5.1.5.1.5.125,1
St Martin's Bob Doubles,5,10,"5.1.5.123.5,125",P,5.1.5.123.5.123.5.1.5.125,1
St Simon's Bob Doubles,5,10,"5.1.5.3.5,125",P,5.1.5.3.5.3.5.1.5.125,1
England Bob Doubles,5,10,"345.1.5.1.145,125",P,345.1.5.1.145.1.5.1.345.125,1
Horsetail Delight Bob Doubles,5,10,"5.1.125.3.145,125",P,5.1.125.3.145.3.125.1.5.125,1
Wales Bob Doubles,5,10,"5.1.5.123.145,125",P,5.1.5.123.145.123.5.1.5.125,1
Primrose Bob Doubles,5,10,"5.145.125.1.5,125",P,5.145.125.1.5.1.125.145.5.125,1
Hertfordshire Bob Doubles,5,10,"5.145.5.3.5,125",P,5.145.5.3.5.3.5.145.5.125,1
Lancashire Bob Doubles,5,10,"5.145.5.123.5,125",P,5.145.5.123.5.123.5.145.5.125,1
Herefordshire Bob Doubles,5,10,"5.145.125.3.5,125",P,5.145.125.3.5.3.125.145.5.125,1
